2, Програмування (лаб),доц. Лис Р.М.,4, NULL, NULL, NULL, Середа, ФеM-11
3, Iноземна мова (пр),доц. Шандра Н.А.,407, NULL, NULL, NULL, Середа, ФеM-11
4, Загальна фiзика (пр),проф. Стасюк З.В.,4,Фiз.практикум (лаб),ас. Бучковська М.Д.,405, Середа, ФеM-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеM-11
2, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеM-11
3, Фiз.практикум (лаб),ас. Бучковська М.Д.,405,Загальна фiзика (пр),проф. Стасюк З.В.,4,Четвер, ФеM-11
4, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеM-11
5, Програмування (лаб),доц. Лис Р.М.,4, NULL, NULL, NULL, Четвер, ФеM-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеM-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеM-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеM-11
2, Програмування (лекц),доц. Лис Р.М.,130, NULL, NULL, NULL, Пятниця, ФеM-11
3, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеM-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеM-12
2, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеM-12
3, Вища математика (лекц),доц. Цаповська Ж.Я.,3, NULL, NULL, NULL, Понедiлок, ФеM-12
4, Загальна фiзика (лекц),проф. Стасюк З.В.,2, NULL, NULL, NULL, Понедiлок, ФеM-12
5, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеM-12
6, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеM-12
1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеM-12
2, Загальна фiзика (пр),проф. Стасюк З.В.,4, NULL, NULL, NULL, Вiвторок, ФеM-12
3, Iноземна мова (пр),ас. Забава I.М.,312,Iноземна мова (пр),ас. Потичко С.I.,122,Вiвторок, ФеM-12
4, Вища математика (пр),доц. Цаповська Ж.Я.,4, NULL, NULL, NULL, Вiвторок, ФеM-12
5, Фiзвиховання (лекц),- -.. Сп-кс, NULL, NULL, NULL, Вiвторок, ФеM-12
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеM-12
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеM-12
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-12
2, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-12
3, Iноземна мова (пр),ас. Забава I.М.,72,Iноземна мова (пр),ас. Потичко С.I.,122,Середа, ФеM-12
4, Програмування (лаб),ас. Кушлик М.О.,4, NULL, NULL, NULL, Середа, ФеM-12
5, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-12
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-12
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеM-12
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеM-12
2, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеM-12
3, Фiз.практикум (лаб),ас. Хомишин I.Ю.,106,Програмування (лаб),ас. Кушлик М.О.,3,Четвер, ФеM-12
4, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеM-12
